"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"1506906";"Total";"824";"251";"5046"
"1507003";"Total";"5510";"1275";"19563"
"1507102";"Total";"3234";"404";"13200"
"1507151";"Total";"5387";"2295";"14960"
"1507201";"Total";"3627";"1803";"24383"
"1507300";"Total";"23105";"9527";"56246"
"1507409";"Total";"2596";"531";"11908"
"1507458";"Total";"5950";"2751";"16165"
"1507466";"Total";"420";"54";"4782"
"1507474";"Total";"3581";"1004";"16002"
"1507508";"Total";"1958";"1370";"9593"
"1507607";"Total";"5675";"2529";"43168"
"1507706";"Total";"4305";"261";"18285"
"1507755";"Total";"1360";"239";"3399"
"1507805";"Total";"1735";"1058";"9743"
"1507904";"Total";"3513";"2758";"16389"
"1507953";"Total";"18398";"7353";"52098"
"1507961";"Total";"2035";"359";"7842"
"1507979";"Total";"3426";"484";"12922"
"1508001";"Total";"10621";"4624";"40330"
"1508035";"Total";"3238";"509";"23699"
"1508050";"Total";"4020";"1316";"10965"
"1508084";"Total";"11303";"2423";"19319"
"1508100";"Total";"24559";"8169";"62898"
"1508126";"Total";"10763";"3357";"28887"
"1508159";"Total";"12169";"3379";"28800"
"1508209";"Total";"10644";"1583";"35452"
"1508308";"Total";"8665";"2882";"44461"
"1508357";"Total";"3041";"1078";"8836"
"1508407";"Total";"11054";"2753";"25941"
"1600055";"Total";"1089";"195";"3093"
"1600105";"Total";"1321";"348";"6394"
"1600154";"Total";"1759";"732";"7330"
"1600204";"Total";"1667";"1260";"5957"
"1600212";"Total";"928";"254";"3479"
"1600238";"Total";"1043";"858";"3874"
"1600253";"Total";"748";"323";"3144"
"1600279";"Total";"7948";"2959";"28708"
"1600303";"Total";"105275";"36694";"250812"
"1600402";"Total";"2971";"1792";"11620"
"1600501";"Total";"3114";"1197";"10490"
"1600535";"Total";"3496";"1103";"11964"
"1600550";"Total";"425";"452";"2867"
"1600600";"Total";"22565";"6315";"71807"
"1600709";"Total";"2527";"769";"9140"
"1600808";"Total";"2285";"952";"9081"
"1700251";"Total";"657";"168";"1512"
"1700301";"Total";"1016";"343";"3697"
"1700350";"Total";"1337";"595";"3585"
